RetentionTime	RAW_ID	CCs	Detector	Polarity	MS dimension	Fragment name	Structure information	Lipid species	Molecular lipid species	Lipid class	MS2 Precursor m/z	MS2 Activation	MS3 Precursor m/z	MS3 Activation	Intensity	Target m/z	Measured m/z	Applied m/z correction	Corrected measured m/z	m/z offset	ppmerror	Calibration m/z offset	Is apex	Adduct	Lipid ID	Lipid category	Conflicts	Charge	C index of lipid species	DB index of lipid species	OH index of lipid species	Sum composition of lipid species	Sum formula of lipid species	C index of structure information	DB index of structure information	OH index of structure information	Sum composition of structure information	Sum formula of structure information	MS2 collision energy	MS3 collision energy	Range ID
22.18	File_305.4716583848667_22.18	305.4716583848667	FTMS	+	ms2	-FA 18:2(FA)	FA 18:2	PC 33:2	PC 15:0-18:2	PC	744.553782	cid			1044.3998	464.313552	306.2790202721733	-0.0	306.2790202721733	-158.03453172782673	-515982.22949580464	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	2	0	18:2	C23H47NO6P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [245.22771552386632-745.5618460565105]
22.18	File_305.4716583848667_22.18	305.4716583848667	FTMS	+	ms2	-FA 18:2(KE)	FA 18:2	PC 33:2	PC 15:0-18:2	PC	744.553782	cid			409.20062	482.324116	482.3252129599012	-0.0	482.3252129599012	0.0010969599011900755	2.274315900797151	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	2	0	18:2	C23H49NO7P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [245.22771552386632-745.5618460565105]
22.18	File_305.4716583848667_22.18	305.4716583848667	FTMS	+	ms2	-FA 18:0(KE)	FA 18:0	PC 33:2	PC 15:2-18:0	PC	744.553782	cid			76.01781	478.292816	478.2907839008681	-0.0	478.2907839008681	-0.002032099131895393	-4.24866880210799	0.0	|\|	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	0	0	18:0	C23H45NO7P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [245.22771552386632-745.5618460565105]
22.18	File_279.5738609116504_22.18	279.5738609116504	FTMS	+	ms2	-FA 18:2(FA)	FA 18:2	PC 33:2	PC 15:0-18:2	PC	744.553782	cid			1044.3998	464.313552	306.2790202721733	-0.0	306.2790202721733	-158.03453172782673	-515982.22949580464	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	2	0	18:2	C23H47NO6P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [245.22771552386632-745.5618460565105]
22.18	File_279.5738609116504_22.18	279.5738609116504	FTMS	+	ms2	-FA 18:2(KE)	FA 18:2	PC 33:2	PC 15:0-18:2	PC	744.553782	cid			409.20062	482.324116	482.3252129599012	-0.0	482.3252129599012	0.0010969599011900755	2.274315900797151	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	2	0	18:2	C23H49NO7P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [245.22771552386632-745.5618460565105]
22.18	File_279.5738609116504_22.18	279.5738609116504	FTMS	+	ms2	-FA 18:0(KE)	FA 18:0	PC 33:2	PC 15:2-18:0	PC	744.553782	cid			76.01781	478.292816	478.2907839008681	-0.0	478.2907839008681	-0.002032099131895393	-4.24866880210799	0.0	|\|	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	0	0	18:0	C23H45NO7P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [245.22771552386632-745.5618460565105]
21.07	File_285.353861570869_21.07	285.353861570869	FTMS	+	ms2	-FA 16:0(FA)	FA 16:0	PC 32:0	PC 16:0-16:0	PC	734.569432	cid			283.7402	478.329202	478.3295564172162	-0.0	478.3295564172162	3.5441721621509714E-4	0.7409477659498042	0.0	YES	+H+	11809000000000	Glycerophospholipid		1	32	0		32:0	C40H81NO8P	16	0	0	16:0	C24H49NO6P	33.00	null	FTMS + p NSI d Full ms2 734.57162@cid33.00 [166.06220824900151-735.7022991721467]
21.07	File_285.353861570869_21.07	285.353861570869	FTMS	+	ms2	-FA 16:0(KE)	FA 16:0	PC 32:0	PC 16:0-16:0	PC	734.569432	cid			571.1781	496.339766	496.34155587813973	-0.0	496.34155587813973	0.0017898781397320818	3.6061420175979126	0.0	YES	+H+	11809000000000	Glycerophospholipid		1	32	0		32:0	C40H81NO8P	16	0	0	16:0	C24H51NO7P	33.00	null	FTMS + p NSI d Full ms2 734.57162@cid33.00 [166.06220824900151-735.7022991721467]
17.27	File_277.33069248601686_17.27	277.33069248601686	FTMS	+	ms2	-FA 22:2(KE)	FA 22:2	PC 33:2	PC 11:0-22:2	PC	744.553782	cid			1224.1923	426.261516	425.2522659360534	-0.0	425.2522659360534	-1.0092500639465811	-2373.2973220614076	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	22	2	0	22:2	C19H41NO7P	33.00	null	FTMS + p NSI d Full ms2 744.56228@cid33.00 [199.13258295152747-710.5297234755818]
21.48	File_276.027222482408_21.48	276.027222482408	FTMS	+	ms2	-FA 4:0(FA)	FA 4:0	PC 32:4	PC 4:0-28:4	PC	726.506832	cid			144.0	638.454403	585.527104919259	-0.0	585.527104919259	-52.92729808074091	-90392.56703246778	0.0	REJECT	+H+	11808600000000	Glycerophospholipid		1	32	4		32:4	C40H73NO8P	4	0	0	4:0	C36H65NO6P	33.00	null	FTMS + p NSI d Full ms2 726.54391@cid33.00 [50.16806365376059-1527.8483225171567]
13.46	File_381.3011852427299_13.46	381.3011852427299	FTMS	+	ms2	-FA 14:3(KE)	FA 14:3	PC 29:3	PC 14:3-15:0	PC	686.475532	cid			96.28414	482.324117	482.32710477738135	-0.0	482.32710477738135	0.002987777381349588	6.194504417761469	0.0	REJECT	+H+	11804800000000	Glycerophospholipid		1	29	3		29:3	C37H69NO8P	14	3	0	14:3	C23H49NO7P	33.00	null	FTMS + p NSI d Full ms2 686.48399@cid33.00 [151.0738526048875-652.4500336860199]
11.14	File_260.1766739610008_11.14	260.1766739610008	FTMS	+	ms2	-FA 6:0(FA)	FA 6:0	PC 29:2	PC 6:0-23:2	PC	688.491182	cid			47.0	572.407452	572.4121328391554	-0.0	572.4121328391554	0.004680839155412286	8.177393327069074	0.0	REJECT	+H+	11804900000000	Glycerophospholipid		1	29	2		29:2	C37H71NO8P	6	0	0	6:0	C31H59NO6P	33.00	null	FTMS + p NSI d Full ms2 688.49908@cid33.00 [136.59903429352784-1516.3507176887188]
20.39	File_293.23489686229743_20.39	293.23489686229743	FTMS	+	ms2	-FA 18:3(FA)	FA 18:3	PC 38:6	PC 18:3-20:3	PC	806.569432	cid			256.0	528.344852	184.07309728664686	-0.0	184.07309728664686	-344.27175471335306	-1870299.135442034	0.0	YES	+H+	11816200000000	Glycerophospholipid		1	38	6		38:6	C46H81NO8P	18	3	0	18:3	C28H51NO6P	33.00	null	FTMS + p NSI d Full ms2 806.56829@cid33.00 [70.72088395289641-1360.4575803173325]
20.39	File_351.67824088971366_20.39	351.67824088971366	FTMS	+	ms2	-FA 18:3(FA)	FA 18:3	PC 38:6	PC 18:3-20:3	PC	806.569432	cid			256.0	528.344852	184.07309728664686	-0.0	184.07309728664686	-344.27175471335306	-1870299.135442034	0.0	YES	+H+	11816200000000	Glycerophospholipid		1	38	6		38:6	C46H81NO8P	18	3	0	18:3	C28H51NO6P	33.00	null	FTMS + p NSI d Full ms2 806.56829@cid33.00 [70.72088395289641-1360.4575803173325]
18.86	File_281.0012985676544_18.86	281.0012985676544	FTMS	+	ms2	-FA 18:2(FA)	FA 18:2	PC 33:2	PC 15:0-18:2	PC	744.553782	cid			173.11674	464.313552	185.0774972767241	-0.0	185.0774972767241	-279.2360547232759	-1508752.0570140833	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	2	0	18:2	C23H47NO6P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [184.0729945193023-745.672970994617]
18.86	File_281.0012985676544_18.86	281.0012985676544	FTMS	+	ms2	-FA 18:2(KE)	FA 18:2	PC 33:2	PC 15:0-18:2	PC	744.553782	cid			173.11674	482.324116	185.0774972767241	-0.0	185.0774972767241	-297.2466187232759	-1606065.6919238477	0.0	YES	+H+	11810100000000	Glycerophospholipid		1	33	2		33:2	C41H79NO8P	18	2	0	18:2	C23H49NO7P	33.00	null	FTMS + p NSI d Full ms2 744.55456@cid33.00 [184.0729945193023-745.672970994617]
18.06	File_292.6118358205026_18.06	292.6118358205026	FTMS	+	ms2	-FA 22:5(FA)	FA 22:5	PC 38:5	PC 16:0-22:5	PC	808.585082	cid			65.94078	478.329202	478.3285618931471	-0.0	478.3285618931471	-6.40106852927147E-4	-1.3382158288723291	0.0	YES	+H+	11816300000000	Glycerophospholipid		1	38	5		38:5	C46H83NO8P	22	5	0	22:5	C24H49NO6P	33.00	null	FTMS + p NSI d Full ms2 808.5704@cid33.00 [184.0731130530798-809.5742996876461]
18.06	File_292.6118358205026_18.06	292.6118358205026	FTMS	+	ms2	-FA 22:5(KE)	FA 22:5	PC 38:5	PC 16:0-22:5	PC	808.585082	cid			69.42461	496.339766	186.07680538843746	-0.0	186.07680538843746	-310.26296061156256	-1667391.9135911919	0.0	YES	+H+	11816300000000	Glycerophospholipid		1	38	5		38:5	C46H83NO8P	22	5	0	22:5	C24H51NO7P	33.00	null	FTMS + p NSI d Full ms2 808.5704@cid33.00 [184.0731130530798-809.5742996876461]
17.0	File_275.09278774463246_17.00	275.09278774463246	FTMS	+	ms2	-FA 15:3(KE)	FA 15:3	PC 31:3	PC 15:3-16:0	PC	714.506832	cid			373.6665	496.339767	469.3160067805675	-0.0	469.3160067805675	-27.023760219432518	-57581.16030350462	0.0	YES	+H+	11807400000000	Glycerophospholipid		1	31	3		31:3	C39H73NO8P	15	3	0	15:3	C24H51NO7P	33.00	null	FTMS + p NSI d Full ms2 714.55177@cid33.00 [171.10178321182315-715.5134716361265]
18.47	File_272.4770991629505_18.47	272.4770991629505	FTMS	+	ms2	-FA 20:4(FA)	FA 20:4	PC 33:5	PC 13:1-20:4	PC	738.506832	cid			1053.8693	434.266602	311.26064562115374	-0.0	311.26064562115374	-123.00595637884624	-395186.3433726893	0.0	YES	+H+	11809800000000	Glycerophospholipid		1	33	5		33:5	C41H73NO8P	20	4	0	20:4	C21H41NO6P	33.00	null	FTMS + p NSI d Full ms2 738.50688@cid33.00 [149.13191990038322-738.4929382193467]
15.86	File_284.664718090253_15.86	284.664718090253	FTMS	+	ms2	-FA 18:1(KE)	FA 18:1	PC 32:3	PC 14:2-18:1	PC	745.549031	cid			160.0	481.303715	343.314279262604	-0.0	343.314279262604	-137.98943573739604	-401933.2840852994	0.0	YES	+NH4+	11808700000000	Glycerophospholipid		1	32	3		32:3	C40H78N2O8P	18	1	0	18:1	C22H46N2O7P	33.00	null	FTMS + p NSI d Full ms2 745.58568@cid33.00 [46.37412426750348-745.4274609503462]
15.86	File_284.664718090253_15.86	284.664718090253	FTMS	+	ms2	-FA 17:3(KE)	FA 17:3	PC 32:3	PC 15:0-17:3	PC	745.549031	cid			83.0	499.350666	499.3497313072812	-0.0	499.3497313072812	-9.346927187721121E-4	-1.8718198091848717	0.0	YES	+NH4+	11808700000000	Glycerophospholipid		1	32	3		32:3	C40H78N2O8P	17	3	0	17:3	C23H52N2O7P	33.00	null	FTMS + p NSI d Full ms2 745.58568@cid33.00 [46.37412426750348-745.4274609503462]
11.21	File_257.5630359534533_11.21	257.5630359534533	FTMS	+	ms2	-FA 16:3(KE)	FA 16:3	PC 27:4	PC 11:1-16:3	PC	656.428581	cid			366.0	424.245866	411.20407769725796	-0.0	411.20407769725796	-13.04178830274202	-31716.096726900207	0.0	YES	+H+	11802100000000	Glycerophospholipid		1	27	4		27:4	C35H63NO8P	16	3	0	16:3	C19H39NO7P	33.00	null	FTMS + p NSI d Full ms2 656.43819@cid33.00 [47.06317129546895-1532.2602577047967]
18.53	File_292.6482806306308_18.53	292.6482806306308	FTMS	+	ms2	-FA 19:1(FA)	FA 19:1	PC 37:1	PC 18:0-19:1	PC	802.632032	cid			130.0	506.360502	502.33063391128616	-0.0	502.33063391128616	-4.02986808871384	-8022.341893298772	0.0	YES	+H+	11815400000000	Glycerophospholipid		1	37	1		37:1	C45H89NO8P	19	1	0	19:1	C26H53NO6P	33.00	null	FTMS + p NSI d Full ms2 802.59671@cid33.00 [75.84203325246705-1501.5236941372725]
11.13	File_258.0370608209138_11.13	258.0370608209138	FTMS	+	ms2	-FA 14:1(KE)	FA 14:1	PC 26:1	PC 12:0-14:1	PC	648.459882	cid			56.0	440.277167	440.2781144599331	-0.0	440.2781144599331	9.474599330587807E-4	2.1519578237973103	0.0	REJECT	+H+	11801100000000	Glycerophospholipid		1	26	1		26:1	C34H67NO8P	14	1	0	14:1	C20H43NO7P	33.00	null	FTMS + p NSI d Full ms2 648.42582@cid33.00 [75.98121889593266-1355.293294292595]
11.13	File_258.0370608209138_11.13	258.0370608209138	FTMS	+	ms2	-FA 12:1(KE)	FA 12:1	PC 26:1	PC 12:1-14:0	PC	648.459882	cid			804.0	468.308467	184.07433001568717	-0.0	184.07433001568717	-284.23413698431284	-1544126.967405449	0.0	YES	+H+	11801100000000	Glycerophospholipid		1	26	1		26:1	C34H67NO8P	12	1	0	12:1	C22H47NO7P	33.00	null	FTMS + p NSI d Full ms2 648.42582@cid33.00 [75.98121889593266-1355.293294292595]
17.69	File_293.7499062976784_17.69	293.7499062976784	FTMS	+	ms2	-FA 23:5(FA)	FA 23:5	PC 39:5	PC 16:0-23:5	PC	822.600732	cid			97.0	478.329202	478.32785945168456	-0.0	478.32785945168456	-0.0013425483154492213	-2.8067533364839075	0.0	YES	+H+	11817600000000	Glycerophospholipid		1	39	5		39:5	C47H85NO8P	23	5	0	23:5	C24H49NO6P	33.00	null	FTMS + p NSI d Full ms2 822.56824@cid33.00 [136.25240891004805-1544.2763821475965]
17.69	File_293.7499062976784_17.69	293.7499062976784	FTMS	+	ms2	-FA 23:5(KE)	FA 23:5	PC 39:5	PC 16:0-23:5	PC	822.600732	cid			403.0	496.339766	496.33624472287613	-0.0	496.33624472287613	-0.0035212771238661844	-7.094539561244919	0.0	YES	+H+	11817600000000	Glycerophospholipid		1	39	5		39:5	C47H85NO8P	23	5	0	23:5	C24H51NO7P	33.00	null	FTMS + p NSI d Full ms2 822.56824@cid33.00 [136.25240891004805-1544.2763821475965]
17.11	File_284.44658073953207_17.11	284.44658073953207	FTMS	+	ms2	-FA 22:6(FA)	FA 22:6	PC 36:6	PC 14:0-22:6	PC	778.538132	cid			211.86528	450.297902	184.09172413994236	-0.0	184.09172413994236	-266.20617786005766	-1446051.8478152433	0.0	|/|	+H+	11813600000000	Glycerophospholipid		1	36	6		36:6	C44H77NO8P	22	6	0	22:6	C22H45NO6P	33.00	null	FTMS + p NSI d Full ms2 778.53833@cid33.00 [166.06177860430049-779.5422639198034]
17.11	File_284.44658073953207_17.11	284.44658073953207	FTMS	+	ms2	-FA 14:0(KE)	FA 14:0	PC 36:6	PC 14:0-22:6	PC	778.538132	cid			211.86528	568.339767	184.09172413994236	-0.0	184.09172413994236	-384.2480428600577	-2087264.078030803	0.0	|/|	+H+	11813600000000	Glycerophospholipid		1	36	6		36:6	C44H77NO8P	14	0	0	14:0	C30H51NO7P	33.00	null	FTMS + p NSI d Full ms2 778.53833@cid33.00 [166.06177860430049-779.5422639198034]
17.11	File_284.44658073953207_17.11	284.44658073953207	FTMS	+	ms2	-FA 22:6(KE)	FA 22:6	PC 36:6	PC 14:0-22:6	PC	778.538132	cid			211.86528	468.308466	184.09172413994236	-0.0	184.09172413994236	-284.21674186005765	-1543886.5771282718	0.0	|/|	+H+	11813600000000	Glycerophospholipid		1	36	6		36:6	C44H77NO8P	22	6	0	22:6	C22H47NO7P	33.00	null	FTMS + p NSI d Full ms2 778.53833@cid33.00 [166.06177860430049-779.5422639198034]
17.11	File_284.44658073953207_17.11	284.44658073953207	FTMS	+	ms2	-FA 20:4(KE)	FA 20:4	PC 36:6	PC 16:2-20:4	PC	778.538132	cid			211.86528	492.308466	184.09172413994236	-0.0	184.09172413994236	-308.21674186005765	-1674256.37029592	0.0	|/|	+H+	11813600000000	Glycerophospholipid		1	36	6		36:6	C44H77NO8P	20	4	0	20:4	C24H47NO7P	33.00	null	FTMS + p NSI d Full ms2 778.53833@cid33.00 [166.06177860430049-779.5422639198034]
16.84	File_277.44131381910574_16.84	277.44131381910574	FTMS	+	ms2	-FA 18:3(KE)	FA 18:3	PC 32:3	PC 14:0-18:3	PC	728.522482	cid			85.00634	468.308466	468.3079907304925	-0.0	468.3079907304925	-4.7526950748988384E-4	-1.0148652529898803	0.0	YES	+H+	11808700000000	Glycerophospholipid		1	32	3		32:3	C40H75NO8P	18	3	0	18:3	C22H47NO7P	33.00	null	FTMS + p NSI d Full ms2 728.52331@cid33.00 [184.0730453424487-729.5337950854773]
20.07	File_278.7661344577012_20.07	278.7661344577012	FTMS	+	ms2	-FA 9:2(KE)	FA 9:2	PC 31:3	PC 9:2-22:1	PC	714.506832	cid			9.0	578.418017	578.4199716961244	-0.0	578.4199716961244	0.001954696124471411	3.379371771585922	0.0	REJECT	+H+	11807400000000	Glycerophospholipid		1	31	3		31:3	C39H73NO8P	9	2	0	9:2	C30H61NO7P	33.00	null	FTMS + p NSI d Full ms2 714.55165@cid33.00 [52.599898598055084-1520.1844347096269]
16.24	File_272.00340221291566_16.24	272.00340221291566	FTMS	+	ms2	-FA 22:1(KE)	FA 22:1	PC 31:1	PC 9:0-22:1	PC	718.538132	cid			954.87396	398.230216	227.12805359372163	-0.0	227.12805359372163	-171.10216240627835	-753329.0568867361	0.0	YES	+H+	11807600000000	Glycerophospholipid		1	31	1		31:1	C39H77NO8P	22	1	0	22:1	C17H37NO7P	33.00	null	FTMS + p NSI d Full ms2 718.51112@cid33.00 [171.1048517575096-719.5071740153357]
15.27	File_280.399053724024_15.27	280.399053724024	FTMS	+	ms2	-FA 5:3(KE)	FA 5:3	PC 31:3	PC 5:3-26:0	PC	714.506832	cid			49.912167	636.496267	636.4962283527169	-0.0	636.4962283527169	-3.864728307689802E-5	-0.06071879353773873	0.0	REJECT	+H+	11807400000000	Glycerophospholipid		1	31	3		31:3	C39H73NO8P	5	3	0	5:3	C34H71NO7P	33.00	null	FTMS + p NSI d Full ms2 714.50825@cid33.00 [169.08553170522637-715.47709580628]
15.27	File_280.399053724024_15.27	280.399053724024	FTMS	+	ms2	-FA 22:2(KE)	FA 22:2	PC 31:3	PC 9:1-22:2	PC	714.506832	cid			125.85052	396.214566	396.2142986389066	-0.0	396.2142986389066	-2.6736109339253744E-4	-0.6747891085985247	0.0	YES	+H+	11807400000000	Glycerophospholipid		1	31	3		31:3	C39H73NO8P	22	2	0	22:2	C17H35NO7P	33.00	null	FTMS + p NSI d Full ms2 714.50825@cid33.00 [169.08553170522637-715.47709580628]
17.28	File_283.2113275225689_17.28	283.2113275225689	FTMS	+	ms2	-FA 18:3(FA)	FA 18:3	PC 36:5	PC 18:2-18:3	PC	780.553782	cid			286.03558	502.329202	502.32828660243604	-0.0	502.32828660243604	-9.153975639719647E-4	-1.822309410770748	0.0	YES	+H+	11813700000000	Glycerophospholipid		1	36	5		36:5	C44H79NO8P	18	3	0	18:3	C26H49NO6P	33.00	null	FTMS + p NSI d Full ms2 780.55522@cid33.00 [166.06173591621356-785.5765963598612]
