	RetentionTime	RAW_ID	Detector	Polarity	MS dimension	Fragment name	Structure information	Lipid species	Molecular lipid species	Lipid class	MS2 Precursor m/z	MS2 Activation	MS3 Precursor m/z	MS3 Activation	Intensity	Target m/z	Measured m/z	Applied m/z correction	Corrected measured m/z	m/z offset	ppmerror	Calibration m/z offset	Is apex	Adduct	Lipid ID	Lipid category	Conflicts	Charge	C index of lipid species	DB index of lipid species	OH index of lipid species	Sum composition of lipid species	Sum formula of lipid species	C index of structure information	DB index of structure information	OH index of structure information	Sum composition of structure information	Sum formula of structure information	MS2 collision energy	MS3 collision energy	Range ID
118683	14.829983333333	200422_M126_PM_TC_pos_Blank1-Blank1_14.829983333333	FTMS	+	ms			PC 36:2		PC					3186.0	786.600732	786.6011	-0.0	786.6011	0.00036799999998038396	0.4678356030526578	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
119153	14.850016666666999	200422_M126_PM_TC_pos_Blank1-Blank1_14.850016666667	FTMS	+	ms			PC 36:2		PC					3560.0	786.600732	786.60114	-0.0	786.60114	0.00040799999999308056	0.5186872726793665	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
119609	14.87005	200422_M126_PM_TC_pos_Blank1-Blank1_14.87005	FTMS	+	ms			PC 36:2		PC					3454.0	786.600732	786.6003	-0.0	786.6003	-0.00043200000004617317	-0.5491988752688923	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
120067	14.8901	200422_M126_PM_TC_pos_Blank1-Blank1_14.8901	FTMS	+	ms			PC 36:2		PC					3051.0	786.600732	786.5979	-0.0	786.5979	-0.0028320000000121577	-3.6003147224422523	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
120521	14.91015	200422_M126_PM_TC_pos_Blank1-Blank1_14.91015	FTMS	+	ms			PC 36:2		PC					2558.0	786.600732	786.5981	-0.0	786.5981	-0.0026319999999486754	-3.346054357299713	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
120975	14.93015	200422_M126_PM_TC_pos_Blank1-Blank1_14.93015	FTMS	+	ms			PC 36:2		PC					1967.0	786.600732	786.6019	-0.0	786.6019	0.0011680000000069413	1.4848680126591882	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
121427	14.950266666666998	200422_M126_PM_TC_pos_Blank1-Blank1_14.950266666667	FTMS	+	ms			PC 36:2		PC					1637.0	786.600732	786.6006	-0.0	786.6006	-0.00013200000000779255	-0.16781070343423654	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
121881	14.970366666667	200422_M126_PM_TC_pos_Blank1-Blank1_14.970366666667	FTMS	+	ms			PC 36:2		PC					1210.0	786.600732	786.6009	-0.0	786.6009	0.0001680000000305881	0.21357717748681465	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
122329	14.990416666666999	200422_M126_PM_TC_pos_Blank1-Blank1_14.990416666667	FTMS	+	ms			PC 36:2		PC					1103.0	786.600732	786.6002	-0.0	786.6002	-0.0005320000000210712	-0.6763283304797929	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
122791	15.010433333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.010433333333	FTMS	+	ms			PC 36:2		PC					881.0	786.600732	786.5983	-0.0	786.5983	-0.0024319999999988795	-3.0917941215978724	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
123247	15.030433333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.030433333333	FTMS	+	ms			PC 36:2		PC					737.0	786.600732	786.5942	-0.0	786.5942	-0.006531999999992878	-8.304154797979537	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
123702	15.050466666666999	200422_M126_PM_TC_pos_Blank1-Blank1_15.050466666667	FTMS	+	ms			PC 36:2		PC					661.0	786.600732	786.60095	-0.0	786.60095	0.00021800000001803707	0.27714179599965794	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
124157	15.070633333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.070633333333	FTMS	+	ms			PC 36:2		PC					572.0	786.600732	786.5972	-0.0	786.5972	-0.0035319999999501306	-4.490227018288562	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
124596	15.090766666667	200422_M126_PM_TC_pos_Blank1-Blank1_15.090766666667	FTMS	+	ms			PC 36:2		PC					503.0	786.600732	786.6014	-0.0	786.6014	0.0006680000000187647	0.8492229991184413	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
125040	15.110766666666999	200422_M126_PM_TC_pos_Blank1-Blank1_15.110766666667	FTMS	+	ms			PC 36:2		PC					466.0	786.600732	786.5975	-0.0	786.5975	-0.003232000000025437	-4.1088358404716985	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
125498	15.13085	200422_M126_PM_TC_pos_Blank1-Blank1_15.13085	FTMS	+	ms			PC 36:2		PC					473.0	786.600732	786.59735	-0.0	786.59735	-0.003381999999987784	-4.299531393015478	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
125941	15.150933333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.150933333333	FTMS	+	ms			PC 36:2		PC					443.0	786.600732	786.5989999999999	-0.0	786.5989999999999	-0.0017319999999472204	-2.2018843145582694	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
126405	15.171016666666999	200422_M126_PM_TC_pos_Blank1-Blank1_15.171016666667	FTMS	+	ms			PC 36:2		PC					512.0	786.600732	786.6014	-0.0	786.6014	0.0006680000000187647	0.8492229991184413	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
126864	15.191183333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.191183333333	FTMS	+	ms			PC 36:2		PC					441.0	786.600732	786.59393	-0.0	786.59393	-0.006801999999993313	-8.647409725108497	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
127320	15.211266666667	200422_M126_PM_TC_pos_Blank1-Blank1_15.211266666667	FTMS	+	ms			PC 36:2		PC					517.0	786.600732	786.60114	-0.0	786.60114	0.00040799999999308056	0.5186872726793665	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
127772	15.23135	200422_M126_PM_TC_pos_Blank1-Blank1_15.23135	FTMS	+	ms			PC 36:2		PC					532.0	786.600732	786.6012	-0.0	786.6012	0.000467999999955282	0.5949647673500651	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
128224	15.251483333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.251483333333	FTMS	+	ms			PC 36:2		PC					576.0	786.600732	786.60077	-0.0	786.60077	3.8000000017746054e-05	0.04830913147688129	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
128684	15.271633333333002	200422_M126_PM_TC_pos_Blank1-Blank1_15.271633333333	FTMS	+	ms			PC 36:2		PC					471.0	786.600732	786.5988	-0.0	786.5988	-0.0019320000000107032	-2.4561440978688283	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
129147	15.291833333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.291833333333	FTMS	+	ms			PC 36:2		PC					434.0	786.600732	786.5987	-0.0	786.5987	-0.0020319999999856013	-2.5832740379377706	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
129597	15.312000000000001	200422_M126_PM_TC_pos_Blank1-Blank1_15.312	FTMS	+	ms			PC 36:2		PC					513.0	786.600732	786.5953	-0.0	786.5953	-0.005432000000041626	-6.9057112342797184	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
130057	15.332166666666998	200422_M126_PM_TC_pos_Blank1-Blank1_15.332166666667	FTMS	+	ms			PC 36:2		PC					446.0	786.600732	786.59753	-0.0	786.59753	-0.003201999999987493	-4.070696738632644	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
130508	15.352316666666999	200422_M126_PM_TC_pos_Blank1-Blank1_15.352316666667	FTMS	+	ms			PC 36:2		PC					473.0	786.600732	786.5989999999999	-0.0	786.5989999999999	-0.0017319999999472204	-2.2018843145582694	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
130959	15.372483333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.372483333333	FTMS	+	ms			PC 36:2		PC					364.0	786.600732	786.5993	-0.0	786.5993	-0.0014320000000225266	-1.8204948822386784	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
131400	15.3925	200422_M126_PM_TC_pos_Blank1-Blank1_15.3925	FTMS	+	ms			PC 36:2		PC					284.0	786.600732	786.5989400000001	-0.0	786.5989400000001	-0.0017920000000231087	-2.2781622360476463	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
132291	15.43265	200422_M126_PM_TC_pos_Blank1-Blank1_15.43265	FTMS	+	ms			PC 36:2		PC					260.0	786.600732	786.59424	-0.0	786.59424	-0.006491999999980179	-8.253302236207807	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
132748	15.452866666667	200422_M126_PM_TC_pos_Blank1-Blank1_15.452866666667	FTMS	+	ms			PC 36:2		PC					236.0	786.600732	786.6025400000001	-0.0	786.6025400000001	0.0018079999999827125	2.298492450816028	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
133189	15.473016666666998	200422_M126_PM_TC_pos_Blank1-Blank1_15.473016666667	FTMS	+	ms			PC 36:2		PC					219.0	786.600732	786.5997	-0.0	786.5997	-0.0010320000000092477	-1.311976091535819	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
133645	15.4932	200422_M126_PM_TC_pos_Blank1-Blank1_15.4932	FTMS	+	ms			PC 36:2		PC					229.0	786.600732	786.60187	-0.0	786.60187	0.0011379999999689974	1.4467293345857382	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
134099	15.51335	200422_M126_PM_TC_pos_Blank1-Blank1_15.51335	FTMS	+	ms			PC 36:2		PC					229.0	786.600732	786.60547	-0.0	786.60547	0.004737999999974818	6.023349926583676	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
134560	15.5335	200422_M126_PM_TC_pos_Blank1-Blank1_15.5335	FTMS	+	ms			PC 36:2		PC					187.0	786.600732	786.6012	-0.0	786.6012	0.000467999999955282	0.5949647673500651	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
135018	15.5538	200422_M126_PM_TC_pos_Blank1-Blank1_15.5538	FTMS	+	ms			PC 36:2		PC					266.0	786.600732	786.5977	-0.0	786.5977	-0.003031999999961954	-3.854575216736528	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
136387	15.6143	200422_M126_PM_TC_pos_Blank1-Blank1_15.6143	FTMS	+	ms			PC 36:2		PC					234.0	786.600732	786.59656	-0.0	786.59656	-0.004172000000039589	-5.303862503593441	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
136850	15.634533333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.634533333333	FTMS	+	ms			PC 36:2		PC					217.0	786.600732	786.59607	-0.0	786.59607	-0.004661999999939326	-5.926803066711643	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
137288	15.65465	200422_M126_PM_TC_pos_Blank1-Blank1_15.65465	FTMS	+	ms			PC 36:2		PC					201.0	786.600732	786.59784	-0.0	786.59784	-0.0028919999999743595	-3.676592857125516	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
137751	15.674816666666999	200422_M126_PM_TC_pos_Blank1-Blank1_15.674816666667	FTMS	+	ms			PC 36:2		PC					267.0	786.600732	786.5939999999999	-0.0	786.5939999999999	-0.006731999999942673	-8.558417684272538	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
138220	15.694966666666998	200422_M126_PM_TC_pos_Blank1-Blank1_15.694966666667	FTMS	+	ms			PC 36:2		PC					159.0	786.600732	786.6010000000001	-0.0	786.6010000000001	0.00026800000000548607	0.3407064064315785	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
138662	15.715183333333002	200422_M126_PM_TC_pos_Blank1-Blank1_15.715183333333	FTMS	+	ms			PC 36:2		PC					226.0	786.600732	786.5985	-0.0	786.5985	-0.002232000000049084	-2.8375340151921007	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
139122	15.735333333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.735333333333	FTMS	+	ms			PC 36:2		PC					152.0	786.600732	786.5982700000001	-0.0	786.5982700000001	-0.0024620000000368236	-3.129933148768333	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
139571	15.755433333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.755433333333	FTMS	+	ms			PC 36:2		PC					134.0	786.600732	786.5991	-0.0	786.5991	-0.0016319999999723225	-2.0747544714611577	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
140001	15.775633333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.775633333333	FTMS	+	ms			PC 36:2		PC					183.0	786.600732	786.5987	-0.0	786.5987	-0.0020319999999856013	-2.5832740379377706	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
140451	15.795833333333	200422_M126_PM_TC_pos_Blank1-Blank1_15.795833333333	FTMS	+	ms			PC 36:2		PC					143.0	786.600732	786.595	-0.0	786.595	-0.0057319999999663205	-7.287104545498407	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
140885	15.816016666666998	200422_M126_PM_TC_pos_Blank1-Blank1_15.816016666667	FTMS	+	ms			PC 36:2		PC					160.0	786.600732	786.5941	-0.0	786.5941	-0.006631999999967775	-8.43128622496377	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
141338	15.836116666667	200422_M126_PM_TC_pos_Blank1-Blank1_15.836116666667	FTMS	+	ms			PC 36:2		PC					187.0	786.600732	786.5982700000001	-0.0	786.5982700000001	-0.0024620000000368236	-3.129933148768333	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
142674	15.89665	200422_M126_PM_TC_pos_Blank1-Blank1_15.89665	FTMS	+	ms			PC 36:2		PC					229.0	786.600732	786.59784	-0.0	786.59784	-0.0028919999999743595	-3.676592857125516	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
143578	15.937183333333001	200422_M126_PM_TC_pos_Blank1-Blank1_15.937183333333	FTMS	+	ms			PC 36:2		PC					207.0	786.600732	786.5989999999999	-0.0	786.5989999999999	-0.0017319999999472204	-2.2018843145582694	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
144016	15.957366666667	200422_M126_PM_TC_pos_Blank1-Blank1_15.957366666667	FTMS	+	ms			PC 36:2		PC					177.0	786.600732	786.59796	-0.0	786.59796	-0.002772000000049957	-3.5240365993956515	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
144467	15.97755	200422_M126_PM_TC_pos_Blank1-Blank1_15.97755	FTMS	+	ms			PC 36:2		PC					176.0	786.600732	786.6067	-0.0	786.6067	0.005968000000052598	7.58701902749188	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
145359	16.017966666667	200422_M126_PM_TC_pos_Blank1-Blank1_16.017966666667	FTMS	+	ms			PC 36:2		PC					133.0	786.600732	786.6032	-0.0	786.6032	0.002468000000021675	3.13754126606868	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
145803	16.038216666666997	200422_M126_PM_TC_pos_Blank1-Blank1_16.038216666667	FTMS	+	ms			PC 36:2		PC					189.0	786.600732	786.5953400000001	-0.0	786.5953400000001	-0.005392000000028929	-6.85485881473558	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
146239	16.058433333333	200422_M126_PM_TC_pos_Blank1-Blank1_16.058433333333	FTMS	+	ms			PC 36:2		PC					151.0	786.600732	786.6071	-0.0	786.6071	0.00636799999995219	8.095528250319871	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
146694	16.078716666667	200422_M126_PM_TC_pos_Blank1-Blank1_16.078716666667	FTMS	+	ms			PC 36:2		PC					150.0	786.600732	786.5980000000001	-0.0	786.5980000000001	-0.00273200000003726	-3.4731845237812204	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
147579	16.1191	200422_M126_PM_TC_pos_Blank1-Blank1_16.1191	FTMS	+	ms			PC 36:2		PC					163.0	786.600732	786.5941	-0.0	786.5941	-0.006631999999967775	-8.43128622496377	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
148019	16.139433333333002	200422_M126_PM_TC_pos_Blank1-Blank1_16.139433333333	FTMS	+	ms			PC 36:2		PC					121.0	786.600732	786.5954	-0.0	786.5954	-0.005331999999953041	-6.778580195044418	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
148466	16.159783333333	200422_M126_PM_TC_pos_Blank1-Blank1_16.159783333333	FTMS	+	ms			PC 36:2		PC					120.0	786.600732	786.5982700000001	-0.0	786.5982700000001	-0.0024620000000368236	-3.129933148768333	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
148893	16.179933333333	200422_M126_PM_TC_pos_Blank1-Blank1_16.179933333333	FTMS	+	ms			PC 36:2		PC					112.0	786.600732	786.6030000000001	-0.0	786.6030000000001	0.0022679999999581928	2.8832841979476207	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
149320	16.200183333333	200422_M126_PM_TC_pos_Blank1-Blank1_16.200183333333	FTMS	+	ms			PC 36:2		PC					105.0	786.600732	786.6001	-0.0	786.6001	-0.0006319999999959691	-0.8034578180144767	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
149754	16.220433333333002	200422_M126_PM_TC_pos_Blank1-Blank1_16.220433333333	FTMS	+	ms			PC 36:2		PC					107.0	786.600732	786.5996	-0.0	786.5996	-0.0011319999999841455	-1.4391057406896033	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
151081	16.281333333333002	200422_M126_PM_TC_pos_Blank1-Blank1_16.281333333333	FTMS	+	ms			PC 36:2		PC					151.0	786.600732	786.6043	-0.0	786.6043	0.0035679999999729257	4.535952829107249	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
151518	16.3016	200422_M126_PM_TC_pos_Blank1-Blank1_16.3016	FTMS	+	ms			PC 36:2		PC					121.0	786.600732	786.60315	-0.0	786.60315	0.002418000000034226	3.073977011195831	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
151947	16.321883333333002	200422_M126_PM_TC_pos_Blank1-Blank1_16.321883333333	FTMS	+	ms			PC 36:2		PC					134.0	786.600732	786.60345	-0.0	786.60345	0.00271799999995892	3.455362419220155	0.0	YES	+H+	11814000000000	Glycerophospholipid		1	36	2		36:2	C44H85NO8P								FTMS + p ESI Full ms [100.0000-2000.0000]
